No,섹션No,문항No,문항,보기No,보기
219,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,1,1. 강의력(내용 이해 및 전달력)
220,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,2,2. 강사 콘텐츠
221,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,3,3. 강사 연간 커리큘럼 구성
222,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,4,"4. 수강생 소통능력(Q&A, 강사 SNS댓글 등)"
223,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,5,5. 수준별 강의 난이도
224,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,6,6. 외모 및 외적 매력
225,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,7,7. 강의 흥미도
226,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,8,8. 강의 수강평
227,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,9,9. 수능 적중력
228,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,10,10. 강사의 평판
229,S7,Q2,G2. 위 선생님을 선택한 이유는 무엇인가요?,11,11. 인강 듣지 않음
230,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,1,1. 이투스 정승제
231,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,2,2. 이투스 강윤구
232,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,3,3. 이투스 김동환
233,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,4,4. 메가스터디 현우진    
234,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,5,5. 메가스터디 김기현    
235,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,6,6. 메가스터디 김성은
236,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,7,7. 메가스터디 양승진    
237,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,8,8. 메가스터디 오르새    
238,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,9,9. 대성마이맥 이미지
239,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,10,10. 대성마이맥 김범준    
240,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,11,11. 대성마이맥 한석원    
241,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,12,12. 대성마이맥 정병호
242,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,13,13. 인강 듣지 않음
243,S7,Q3,G3. 현재 본인이 수강하고 있는 <수학> 인강 강사는 누구인가요?,14,14. 보기에 언급되지 않은 강사(사이트/강사명)
244,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,1,1. 강의력(내용 이해 및 전달력)
245,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,2,2. 강사 콘텐츠
246,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,3,3. 강사 연간 커리큘럼 구성
247,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,4,"4. 수강생 소통능력(Q&A, 강사 SNS댓글 등)"
248,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,5,5. 수준별 강의 난이도
249,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,6,6. 외모 및 외적 매력
250,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,7,7. 강의 흥미도
251,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,8,8. 강의 수강평
252,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,9,9. 수능 적중력
253,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,10,10. 강사의 평판
254,S7,Q4,G4. 위 선생님을 선택한 이유는 무엇인가요?,11,11. 인강 듣지 않음
255,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,1,1. 이투스 주혜연
256,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,2,2. 이투스 김범구
257,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,3,3. 이투스 오채은
258,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,4,4. 메가스터디 조정식
259,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,5,5. 메가스터디 김지영
260,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,6,6. 메가스터디 김기철
261,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,7,7. 대성마이맥 이명학
262,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,8,8. 대성마이맥 션티 
263,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,9,9. 강의 듣지 않음
264,S7,Q5,G5. 현재 본인이 수강하고 있는 <영어> 인강 강사는 누구인가요?,10,10. 보기에 언급되지 않은 강사(사이트/강사명)
265,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,1,1. 강의력(내용 이해 및 전달력)
266,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,2,2. 강사 콘텐츠
267,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,3,3. 강사 연간 커리큘럼 구성
268,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,4,"4. 수강생 소통능력(Q&A, 강사 SNS댓글 등)"
269,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,5,5. 수준별 강의 난이도
270,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,6,6. 외모 및 외적 매력
271,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,7,7. 강의 흥미도
272,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,8,8. 강의 수강평
273,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,9,9. 수능 적중력
274,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,10,10. 강사의 평판
275,S7,Q6,G6. 위 선생님을 선택한 이유는 무엇인가요?,11,11. 인강 듣지 않음
276,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,1,1. 생활과 윤리
277,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,2,2. 윤리와 사상
278,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,3,3. 한국지리
279,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,4,4. 세계지리
280,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,5,5. 동아시아사
281,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,6,6. 세계사
282,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,7,7. 정치와 법
283,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,8,8. 경제
284,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,9,9. 사회문화
285,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,10,10. 물리학Ⅰ
286,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,11,11. 화학Ⅰ
287,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,12,12. 생명과학Ⅰ
288,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,13,13. 지구과학Ⅰ
289,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,14,14. 물리학Ⅱ
290,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,15,15. 화학Ⅱ
291,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,16,16. 생명과학Ⅱ
292,S7,Q7,G7. 현재 본인이 선택한 <탐구 첫 번째 과목>은 무엇인가요?,17,17. 지구과학Ⅱ
293,S7,Q8,G8. 현재 본인이 수강하고 있는 <탐구 첫 번째 과목> 인강 사이트는 어디인가요?,1,1. 이투스
294,S7,Q8,G8. 현재 본인이 수강하고 있는 <탐구 첫 번째 과목> 인강 사이트는 어디인가요?,2,2. 메가스터디
295,S7,Q8,G8. 현재 본인이 수강하고 있는 <탐구 첫 번째 과목> 인강 사이트는 어디인가요?,3,3. 대성마이맥
296,S7,Q8,G8. 현재 본인이 수강하고 있는 <탐구 첫 번째 과목> 인강 사이트는 어디인가요?,4,4. EBSi
297,S7,Q8,G8. 현재 본인이 수강하고 있는 <탐구 첫 번째 과목> 인강 사이트는 어디인가요?,5,5. 인강 듣지 않음
298,S7,Q8,G8. 현재 본인이 수강하고 있는 <탐구 첫 번째 과목> 인강 사이트는 어디인가요?,6,6. 보기에 언급되지 않은 사이트
299,S7,Q9,G9. 현재 본인이 수강하고 있는 <탐구 첫 번째 과목> 인강 강사명을 작성해 주세요.,1,-
300,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,1,1. 강의력(내용 이해 및 전달력)
301,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,2,2. 강사 콘텐츠
302,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,3,3. 강사 연간 커리큘럼 구성
303,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,4,"4. 수강생 소통능력(Q&A, 강사 SNS댓글 등)"
304,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,5,5. 수준별 강의 난이도
305,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,6,6. 외모 및 외적 매력
306,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,7,7. 강의 흥미도
307,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,8,8. 강의 수강평
308,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,9,9. 수능 적중력
309,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,10,10. 강사의 평판
310,S7,Q10,G10. 위 선생님을 선택한 이유는 무엇인가요?,11,11. 인강 듣지 않음
311,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,1,1. 생활과 윤리
312,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,2,2. 윤리와 사상
313,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,3,3. 한국지리
314,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,4,4. 세계지리
315,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,5,5. 동아시아사
316,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,6,6. 세계사
317,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,7,7. 정치와 법
318,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,8,8. 경제
319,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,9,9. 사회문화
320,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,10,10. 물리학Ⅰ
321,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,11,11. 화학Ⅰ
322,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,12,12. 생명과학Ⅰ
323,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,13,13. 지구과학Ⅰ
324,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,14,14. 물리학Ⅱ
325,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,15,15. 화학Ⅱ
326,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,16,16. 생명과학Ⅱ
327,S7,Q11,G11. 현재 본인이 선택한 <탐구 두 번째 과목>은 무엇인가요?,17,17. 지구과학Ⅱ
328,S7,Q12,G12. 현재 본인이 수강하고 있는 <탐구 두 번째 과목> 인강 사이트는 어디인가요?,1,1. 이투스
329,S7,Q12,G12. 현재 본인이 수강하고 있는 <탐구 두 번째 과목> 인강 사이트는 어디인가요?,2,2. 메가스터디
330,S7,Q12,G12. 현재 본인이 수강하고 있는 <탐구 두 번째 과목> 인강 사이트는 어디인가요?,3,3. 대성마이맥
331,S7,Q12,G12. 현재 본인이 수강하고 있는 <탐구 두 번째 과목> 인강 사이트는 어디인가요?,4,4. EBSi
332,S7,Q12,G12. 현재 본인이 수강하고 있는 <탐구 두 번째 과목> 인강 사이트는 어디인가요?,5,5. 인강 듣지 않음
333,S7,Q12,G12. 현재 본인이 수강하고 있는 <탐구 두 번째 과목> 인강 사이트는 어디인가요?,6,6. 보기에 언급되지 않은 사이트
334,S7,Q13,G13. 현재 본인이 수강하고 있는 <탐구 두 번째 과목> 인강 강사명을 작성해 주세요.,1,-
335,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,1,1. 강의력(내용 이해 및 전달력)
336,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,2,2. 강사 콘텐츠
337,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,3,3. 강사 연간 커리큘럼 구성
338,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,4,"4. 수강생 소통능력(Q&A, 강사 SNS댓글 등)"
339,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,5,5. 수준별 강의 난이도
340,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,6,6. 외모 및 외적 매력
341,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,7,7. 강의 흥미도
342,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,8,8. 강의 수강평
343,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,9,9. 수능 적중력
344,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,10,10. 강사의 평판
345,S7,Q14,G14. 위 선생님을 선택한 이유는 무엇인가요?,11,11. 인강 듣지 않음
346,S7,Q15,G15. 이투스 인강 수강과 관련하여 개선되었으면 하는 점이 있다면 자유롭게 작성해 주세요.,1,-
